ride_id,rider_id,date,distance,fare,driver_id
R201,R101,2022-05-01,7.5,15.50,D401
R202,R102,2022-05-03,12.3,24.60,D402
R203,R103,2022-05-03,9.7,19.40,D401
R204,R104,2022-05-04,5.2,10.40,D403
R205,R105,2022-05-05,15.8,31.60,D404
R206,R106,2022-05-05,4.3,8.60,D402
R207,R107,2022-05-06,8.9,17.80,D405
R208,R108,2022-05-07,6.1,12.20,D406
R209,R101,2022-05-08,5.5,11.00,D407
R210,R102,2022-05-09,13.2,26.40,D408
R211,R104,2022-05-10,6.8,13.60,D409
R212,R105,2022-05-11,7.2,14.40,D410
R213,R107,2022-05-12,9.4,18.80,D411
R214,R108,2022-05-13,12.5,25.00,D412
R215,R106,2022-05-14,11.3,22.60,D413
R216,R103,2022-05-15,10.1,20.20,D414
R217,R101,2022-05-02,7.5,13.50,D403
R218,R101,2022-05-03,7.5,11.40,D405

